Probeset ID,Sequence ID,MGI ID,Gene Symbol,Gene Name,Chromosome,Start Coordinate,End Coordinate,Strand
10344614,---,---,,,,,,
10344616,---,---,,,,,,
10344618,---,---,,,,,,
10344620,ENSMUST00000097833,---,,,,,,
10344622,ENSMUST00000097833,---,,,,,,
10344624,NM_008866,MGI:1344588,Lypla1,lysophospholipase 1,1,4797869,4876851,+
10344633,NM_011541,MGI:1196624,Tcea1,transcription elongation factor A (SII) 1,1,4847896,4887986,+
10344637,NM_133826,MGI:1914864,Atp6v1h,"ATPase, H+ transporting, lysosomal V1 subunit H",1,5073254,5152630,+
10344653,NM_011011,MGI:97439,Oprk1,"opioid receptor, kappa 1",1,5578574,5596212,+
10344658,NM_009826,MGI:1341850,Rb1cc1,RB1-inducible coiled-coil 1,1,6196278,6266729,+
10344674,XM_975315,MGI:3645495,Fam150a,"family with sequence similarity 150, member A",1,6349537,6384812,+
10344679,NM_173868,MGI:2446700,St18,suppression of tumorigenicity 18,1,6477312,6851021,+
10344705,---,---,,,,,,
10344707,NM_183028,MGI:2441773,Pcmtd1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1,1,7079231,7163709,+
10344713,L32836,MGI:87968,Ahcy,S-adenosylhomocysteine hydrolase,2,154885046,154900233,-
10344715,---,---,,,,,,
10344717,---,---,,,,,,
10344719,ENSMUST00000054760,MGI:3646561,Gm7075,predicted gene 7075,10,62884149,62884487,-
10344721,---,---,,,,,,
10344723,NM_021511,MGI:1929721,Rrs1,RRS1 ribosome biogenesis regulator homolog (S. cerevisiae),1,9535523,9537533,+
10344725,NM_175236,MGI:1923437,Adhfe1,"alcohol dehydrogenase, iron containing, 1",1,9538029,9568051,+
10344741,ENSMUST00000090792,MGI:1917171,Hnrnpa3,heterogeneous nuclear ribonucleoprotein A3,2,75497318,75507464,+
10344743,BC066997,MGI:1924232,3110035E14Rik,RIKEN cDNA 3110035E14 gene,1,9591280,9617224,+
10344750,NM_133220,MGI:2182368,Sgk3,serum/glucocorticoid regulated kinase 3,1,9788211,9892637,+
10344772,NM_177722,MGI:3045334,6030422M02Rik,RIKEN cDNA 6030422M02 gene,1,9898719,9932166,+
10344789,NM_026493,MGI:2681832,Cspp1,centrosome and spindle pole associated protein 1,1,10028299,10126849,+
10344797,AK032310,MGI:2681832,Cspp1,centrosome and spindle pole associated protein 1,1,10028299,10126849,+
10344799,NM_026493,MGI:2681832,Cspp1,centrosome and spindle pole associated protein 1,1,10028299,10126849,+
10344801,NM_026493,MGI:2681832,Cspp1,centrosome and spindle pole associated protein 1,1,10028299,10126849,+
10344803,NM_026493,MGI:2681832,Cspp1,centrosome and spindle pole associated protein 1,1,10028299,10126849,+
10344805,NM_026493,MGI:2681832,Cspp1,centrosome and spindle pole associated protein 1,1,10028299,10126849,+
10344807,NM_026493,MGI:2681832,Cspp1,centrosome and spindle pole associated protein 1,1,10028299,10126849,+
10344809,NM_026493,MGI:2681832,Cspp1,centrosome and spindle pole associated protein 1,1,10028299,10126849,+
10344811,NM_026493,MGI:2681832,Cspp1,centrosome and spindle pole associated protein 1,1,10028299,10126849,+
10344813,NM_026493,MGI:2681832,Cspp1,centrosome and spindle pole associated protein 1,1,10028299,10126849,+
10344815,NM_026493,MGI:2681832,Cspp1,centrosome and spindle pole associated protein 1,1,10028299,10126849,+
10344817,NM_026493,MGI:2681832,Cspp1,centrosome and spindle pole associated protein 1,1,10028299,10126849,+
10344819,NM_026493,MGI:2681832,Cspp1,centrosome and spindle pole associated protein 1,1,10028299,10126849,+
